Instancia,Tempo medio,Custo medio
dantzig42,0.09,1258
swiss42,0.07,22327
att48,0.13,209320
hk48,0.14,247926
eil51,0.21,10178
berlin52,0.18,143721
brazil58,0.28,512361
st70,0.55,20557
eil76,0.79,17976
pr76,0.70,3455242
gr96,1.78,2097170
rat99,2.97,57986
kroA100,2.15,983128
kroB100,2.28,986008
kroC100,2.12,961324
kroD100,2.24,976965
kroE100,2.30,971266
rd100,2.09,340047
eil101,3.06,27512
lin105,2.24,603910
pr107,2.50,2026626
